domain,stableId,fieldId,english,candidateSpanish,status,sourceDigest,exemptionEligible,source,reviewDecision,reviewNotes
alerts,alert-c313982e-167b-4301-8f81-96c75e9c40cb,message,Get District 34 updates by email — sign up for the District Newsletter and confirm your subscription.,,missing,1400210200af9392efde4300e74633a8487e9e240ba59993ee953506ef9f0028,false,live_alert,,
email,email.newsletter-confirmation.action,value,Confirm subscription,Confirmar suscripción,needs_review,51b9b12697cfdfa7491edcecb8d7e4ea29b05b9e5af5012172dd55257fca9e01,false,checked_in_explicit_content,,
email,email.newsletter-confirmation.expiry,value,This confirmation link expires in 48 hours.,Este enlace de confirmación vence en 48 horas.,needs_review,0d964fb8a489d46a6dc8222c1511545ad9a0cb1fa105e502801fa513cf76619e,false,checked_in_explicit_content,,
email,email.newsletter-confirmation.heading,value,Confirm your subscription,Confirme su suscripción,needs_review,4189df79fb12d29f1d156c48ad841b2f75accbb58b3ef285f7f7ab6d5dc5e9bc,false,checked_in_explicit_content,,
email,email.newsletter-confirmation.no-action,value,"If you did not request this subscription, no action is required.","Si no solicitó esta suscripción, no se requiere ninguna acción.",needs_review,eced08ed5c9c51de3cfabb7797d356eeb0b9404c0fc14bd9aa5fbc7f13c108b7,false,checked_in_explicit_content,,
email,email.newsletter-confirmation.subject,value,Confirm your District Newsletter subscription,Confirme su suscripción al Boletín del distrito,needs_review,d2f03784304d47353c1db84f1dd2e8e8a9a3d5025bb63fa4850c40b483459559,false,checked_in_explicit_content,,
form,form.contact.email,label,Email — Optional,,missing,c6badc292c9ac6ecb1a16effc63b23bc503b096617a82cc544d88ca5d1877bc6,false,public_html:/contact,,
form,form.contact.firstName,label,First name *,,missing,d539d49ae0abae38b2035cfac54382646aaa1aab2cfaa2d56f6b14a661f965a4,false,public_html:/contact,,
form,form.contact.lastName,label,Last name *,,missing,fbee27a6ff6179a3dc8fbd69352bc30053f599c3dd8f23d0c8b51d65b187f65d,false,public_html:/contact,,
form,form.contact.message,label,Message *,,missing,0dbb9eb0f7d0ecf23d358e557ccd9114316b253f813d12670af369d9955dcbde,false,public_html:/contact,,
form,form.contact.operationalConsent,label,I agree that Office of Assemblywoman Carmen Theresa Morales may contact me about this request using the information I provided. *,,missing,6dad88e55614aad0f90ad4d49333bddc9bb3db4eb04f9324429609f206fe27b8,false,public_html:/contact,,
form,form.contact.phone,label,Phone — Optional,,missing,bbdbeda04245546fb7fd13b77af934c290615dbff3c499ab43c8b5574a58807d,false,public_html:/contact,,
form,form.contact.subject,label,Subject *,,missing,ea3eb8fd333ffeec5095c13f3b1e40fd8c699c99530ec3c81e31773248570f7c,false,public_html:/contact,,
form,form.contact.zipCode,label,ZIP code — Optional,,missing,3aa6d9b9a89d439fa4c80c79b2afdc053114fb141f0edf08c95940c23132e6e4,false,public_html:/contact,,
form,form.newsletter.consent,value,"I agree to receive District Newsletter emails from the Office of Assemblywoman Carmen Morales. I understand that submitting this form is a confirmation request, that I am not subscribed until I confirm by email, and that I can unsubscribe at any time.","Acepto recibir correos del Boletín del distrito de la Oficina de la Asambleísta Carmen Morales. Entiendo que enviar este formulario crea una solicitud de confirmación, que no estaré suscrito hasta confirmar por correo electrónico y que puedo cancelar la suscripción en cualquier momento.",needs_review,a873e218240d05fe53b4c2119550cc9d0d9bf25292b6ce11948255448cc13e6d,false,checked_in_explicit_content,,
form,form.newsletter.email,label,Email address *,,missing,e4841672f5c3f614f66852fde9eac229cfccd32ea74d064e4ab201269c81fd65,false,"public_html:/,public_html:/news,public_html:/newsletter",,
form,form.newsletter.firstName,label,First name — Optional,,missing,27f6012e202c526762f0805ee7d7a2bf85d9cec2338a24121b59c968913d2d88,false,"public_html:/,public_html:/news,public_html:/newsletter",,
form,form.newsletter.marketingConsent,label,"I agree to receive District Newsletter emails from the Office of Assemblywoman Carmen Morales. I understand that submitting this form is a confirmation request, that I am not subscribed until I confirm by email, and that I can unsubscribe at any time. *",,missing,644572a56cd5d5ebdd11081bfadbc6edbbe45eaa6449b7da88a50e0b68a8a510,false,"public_html:/,public_html:/news,public_html:/newsletter",,
form,form.newsletter.success,value,"Check your inbox to continue. Your request is pending, and you are not subscribed unless you complete the confirmation step.",Revise su bandeja de entrada para continuar. Su solicitud está pendiente y no estará suscrito a menos que complete el paso de confirmación.,needs_review,0a0f20fd15057db720fc256a333c135fda8136b9561128fa62b45e86e67dc49a,false,checked_in_explicit_content,,
media,media.about,alt,Assemblywoman Carmen Morales meeting with legislative colleagues,La asambleísta Carmen Morales reunida con colegas legisladores,needs_review,eaf5ae4c9f2df12697ed6c11ec3fde1400f975b1ccfd1e29078ef17b458a4b57,false,public_html:/about,,
media,media.business,alt,Small business roundtable with constituents at a local restaurant,Mesa redonda de pequeños negocios con residentes en un restaurante local,needs_review,0c93667d1e3dc0f8a880ff4fedee04583b632587e8632b8d7ab12e4c645de018,false,"public_html:/,public_html:/community",,
media,media.capitol,alt,Constituents and officials during a capitol visit,Residentes y funcionarios durante una visita al capitolio,needs_review,16c8608a8c840714160c2e8b4af6c7888432441152744d586420e9a6d04b50e8,false,public_html:/social,,
media,media.clinic,alt,Fresh Start expungement clinic event flyer,Volante de un evento de la clínica de eliminación de antecedentes Fresh Start,needs_review,fd7c6be9f7f69c012d2be87354763bec85603c1331ac5523ec8339d63483096d,false,public_html:/resources,,
media,media.coverage,alt,Community health clinic event flyer,Volante de un evento de una clínica de salud comunitaria,needs_review,7d1ba1af361c442139fc07012476a9b156c6630fb4c5f83b7947e5c21c50b144,false,"public_html:/about,public_html:/contact,public_html:/news,public_html:/newsletter,public_html:/resources,public_html:/social,public_html:/survey,public_html:/voting",,
media,media.event-group,alt,Community members gathered at a district event,Miembros de la comunidad reunidos en un evento del distrito,needs_review,8498a9c5fef7c90185b132378925405afeac6f290f611f519924b0e4c2c0cd02,false,public_html:/newsletter,,
media,media.graduation,alt,A graduate at a district graduation ceremony,Una persona graduada en una ceremonia de graduación del distrito,needs_review,bb6077e487a27fa3d3da70ae99341fd12db2c0c516450a92e8069880b028ab86,false,public_html:/community,,
media,media.hero,alt,Assemblywoman Carmen Morales with legislative colleagues at the State House,La asambleísta Carmen Morales con colegas legisladores en la Casa de Gobierno,needs_review,1dd3c074dcd8e357309d64d0681a43d36d474ed6cf3d8b517947ed599efdfe60,false,public_html:/,,
media,media.meeting,alt,Constituent meeting in a community space,Reunión con residentes en un espacio comunitario,needs_review,e6f63b88f0850a3c31ade9ea80fef384ebfac5feac8d7155f0f22e7c227a5abf,false,public_html:/contact,,
media,media.outdoor-visit,alt,Assemblywoman Carmen Morales visiting constituents outdoors,La asambleísta Carmen Morales visitando a residentes al aire libre,needs_review,e6bb2779b9f01b2294d9e1197dceebfef806790013ed39e26adad14bb5fabd7d,false,public_html:/survey,,
media,media.outreach,alt,District outreach event with community members,Evento de alcance del distrito con miembros de la comunidad,needs_review,2be09e8c3dbb7d0e24bdd9f87affc8d7b2f929d34857e4c72309b78226d5eafb,false,public_html:/voting,,
media,media.vote-board,alt,New Jersey General Assembly electronic vote board,Tablero electrónico de votación de la Asamblea General de Nueva Jersey,needs_review,47db63ed899005b41c9fb34fb3f487129b40bf161ca22590b93b795aa1c39a65,false,public_html:/news,,
site,about.cards.biography-readiness.body,value,"Review the New Jersey Legislature profile for the current biography, committee assignments, sponsored bills, and member votes.","Consulte el perfil de la Legislatura de Nueva Jersey para ver la biografía vigente, las asignaciones de comités, los proyectos de ley patrocinados y las votaciones de la integrante.",needs_review,cca5b28dcb71239aff3345d517afb847edce5e16160081bf317f0148f36a5497,false,public_html:/about,,
site,about.cards.biography-readiness.link,label,Open,Abrir,needs_review,7880531e09e103c04cbd64c078eea67a0cd9c373a278c79cb97494825c287af7,false,public_html:/about,,
site,about.cards.biography-readiness.title,value,Official biography and legislative record,Biografía oficial y expediente legislativo,needs_review,c8a147e4a09a4224fc80dd476596ab62e0935e4c6d0e1392fd794cdf5fa1a31f,false,public_html:/about,,
site,about.cards.community-presence.body,value,Her official biography lists a career in education and service as an Essex County College trustee from 2017 through 2023.,Su biografía oficial describe una carrera en educación y su servicio como miembro de la junta de Essex County College entre 2017 y 2023.,needs_review,23c31e6ee469f7cbd59b0e5ddb2e3dcd50194d8093f95684bb82033db33380ab,false,public_html:/about,,
site,about.cards.community-presence.link,label,Open,Abrir,needs_review,7880531e09e103c04cbd64c078eea67a0cd9c373a278c79cb97494825c287af7,false,public_html:/about,,
site,about.cards.community-presence.title,value,Public Service,Servicio público,needs_review,379f63ba21105c02b9595ab1613a8bea464b19c425b91535b6924b4aa50f05ad,false,public_html:/about,,
site,about.cards.district-leadership.body,value,"The district includes Belleville, Bloomfield, East Orange, Glen Ridge, Nutley, and Orange.","El distrito incluye Belleville, Bloomfield, East Orange, Glen Ridge, Nutley y Orange.",needs_review,c271ab225ab5859bd8285119cebcf5b6aa43c25e8eb88fec0b9cd6dbceb87ba0,false,public_html:/about,,
site,about.cards.district-leadership.title,value,District 34,Distrito 34,needs_review,9e87b421aa23cdf7935f5b7104aba8a41e7ff640dbd4d5b0834194b98db7dfc8,false,public_html:/about,,
site,about.cards.legislative-priorities.body,value,"The official legislative roster lists Higher Education, Appropriations, Science, Innovation and Technology, and the Joint Committee on the Public Schools.","El registro legislativo oficial incluye Educación Superior, Asignaciones, Ciencia, Innovación y Tecnología, y el Comité Conjunto de Escuelas Públicas.",needs_review,c144075444658e5c8b48c4498f274653171e7b445cffb9d4e2421cd1057caa43,false,public_html:/about,,
site,about.cards.legislative-priorities.link,label,Open,Abrir,needs_review,7880531e09e103c04cbd64c078eea67a0cd9c373a278c79cb97494825c287af7,false,public_html:/about,,
site,about.cards.legislative-priorities.title,value,Committee Service,Servicio en comités,needs_review,3fec990b19de66bcccb6481e1962d0c1ad2727a2ea4d28a77164805acdaf6506,false,public_html:/about,,
site,about.features.body,value,Use these links for current public information or contact the district office at (973) 450-0484.,Use estos enlaces para consultar información pública vigente o comuníquese con la oficina del distrito al (973) 450-0484.,needs_review,53776ae6af97f79ac512438b9f2db8db0302a328892f4c22c9e48a1e15751f2c,false,public_html:/about,,
site,about.features.eyebrow,value,Page Resources,Recursos de la página,needs_review,e13668e00d5b45bce671c3b18ca7734425255d25eb8d32a7b2e5a55cdd66f8ba,false,public_html:/about,,
site,about.features.title,value,Verified paths for District 34 residents,Recursos verificados para residentes del Distrito 34,needs_review,bf81c696432dc2fc9aba49babce5ff454920e0e55a54e8897a00529cd25471fe,false,public_html:/about,,
site,about.hero.body,value,Assemblywoman Morales has served in the New Jersey General Assembly since 2024 and represents District 34 in Essex County.,La asambleísta Morales forma parte de la Asamblea General de Nueva Jersey desde 2024 y representa al Distrito 34 del condado de Essex.,needs_review,9a64ebdce83fd78472366ad6d7727a971b6db4717a19a1bff69d37e614e52019,false,public_html:/about,,
site,about.hero.eyebrow,value,Deputy Whip - District 34,Subjefa de disciplina - Distrito 34,needs_review,7ec1f4b6cc7582c14850880943dd601d02daee9fb6b447c8058b590426d8fcf0,false,public_html:/about,,
site,about.hero.primary-cta,label,Contact the Office,Contactar a la oficina,needs_review,f22cb79c2d8cc19521dca6f4a770ad51a5dfb17f95d5e6cabfb4db208fa56648,false,public_html:/about,,
site,about.hero.secondary-cta,label,Get Updates,Recibir actualizaciones,needs_review,ed4c3d6bb2ac7925039fa753c656547d18590799b716e314704237dcf1a11d8f,false,public_html:/about,,
site,about.hero.title,value,About Assemblywoman Carmen Theresa Morales,Acerca de la asambleísta Carmen Theresa Morales,needs_review,60814fe2a87f716defce1b0cff7f99f3836630217f5808f6a9aa4a3e23602f4c,false,public_html:/about,,
site,alerts.latest-unavailable,value,Latest alerts could not be refreshed.,No se pudieron actualizar las alertas más recientes.,needs_review,25dd3048704ef499e8bc1c51b19e08c758c7710dfad5d1a4cf875d30ef7a56d0,false,checked_in_public_catalog,,
site,alerts.next,value,Next alert,Alerta siguiente,needs_review,8ab0da991f919bcd79826ca050ed3d5b8bfa2b68b7ff5824bc5d77bf5d02c066,false,checked_in_public_catalog,,
site,alerts.pause,value,Pause,Pausar,needs_review,0ca3f022da3ff7a2c27b7edc5ec7744813c0aecf9276ad654f465fb232590959,false,checked_in_public_catalog,,
site,alerts.previous,value,Previous alert,Alerta anterior,needs_review,147801235d2a97e722bb19198516c7e591ec1f8fe31f8b0db460cf4c48a8456b,false,checked_in_public_catalog,,
site,alerts.resume,value,Resume,Reanudar,needs_review,298ad816bc345e6f6f4567cf90733347770f4051847166bff914942e8becef7a,false,checked_in_public_catalog,,
site,alerts.site-label,value,Site alerts,Alertas del sitio,needs_review,e9586e80d6b37a60c985ebebeb221edefe4e18f1f54756fddde8e753a22814b1,false,checked_in_public_catalog,,
site,catalog.legacy.000f0ba32c2f99d9,value,Help navigating New Jersey agencies,Ayuda para orientarse entre las agencias de Nueva Jersey,needs_review,75a3b44b1603ea874a8194c1985b65a650c11b14e6da0dd4fb476099a7058f26,false,checked_in_legacy_catalog,,
site,catalog.legacy.01812251620a527e,value,"Go directly to official voting, state service, district office, and newsletter resources.","Acceda directamente a recursos oficiales sobre elecciones, servicios estatales, la oficina del distrito y el boletín.",needs_review,dfa485b64e1d5d1ba4102ed3469b19835e0acaaeb4ee608bbd5fd8633e6bb06b,false,checked_in_legacy_catalog,,
site,catalog.legacy.03efd7434d7f3aa9,value,Official New Jersey Voting Information,Información electoral oficial de Nueva Jersey,needs_review,fa6b10363a715e6c5192563e46de000c87cb2e6e0bf9d4a931539a2b16e84d76,false,checked_in_legacy_catalog,,
site,catalog.legacy.05e4eb88c58fec98,value,Contact the district office about an existing matter involving a New Jersey state agency.,Comuníquese con la oficina del distrito sobre un asunto existente relacionado con una agencia estatal de Nueva Jersey.,needs_review,8e908d7adcbcb7ab29fdad79b0bf1159a001fa28c1e4d1f5e018b4692a9c508b,false,checked_in_legacy_catalog,,
